record_no,snapshot_index,target_id,field,source_value,source_valid,protocol_code,decoded_value,decoded_valid,absolute_error,tolerance,quantization_units,passed
31,2,3c5434,vertical_rate,-6.5,true,32118,-6.5,true,0.0,0.01,0.0,true
31,2,3c5434,callsign,BCS6GA,true,BCS6GA,BCS6GA,true,,exact,,true
32,2,4b5d62,lat,47.4577,true,3202996,47.45770870630949,true,8.706309486683494e-06,4.2915354470099084e-05,0.20287166666069467,true
32,2,4b5d62,lon,8.5625,true,2196912,8.562514439228636,true,1.443922863586522e-05,8.583070894019817e-05,0.168229166625265,true
32,2,4b5d62,altitude,,false,0,,false,,,,true
32,2,4b5d62,speed,2.83,true,28,2.8000000000000003,true,0.029999999999999805,0.1,0.29999999999999805,true
32,2,4b5d62,heading,272.81,true,27281,272.81,true,0.0,0.01,0.0,true
32,2,4b5d62,vertical_rate,,false,0,,false,,,,true
32,2,4b5d62,callsign,VIKTOR21,true,VIKTOR21,VIKTOR21,true,,exact,,true
33,2,4b5d54,lat,47.4581,true,3203005,47.45809494449972,true,5.055500281514469e-06,4.2915354470099084e-05,0.11780166665142768,true
33,2,4b5d54,lon,8.5499,true,2196765,8.549897325014427,true,2.674985571715638e-06,8.583070894019817e-05,0.03116583335667671,true
33,2,4b5d54,altitude,,false,0,,false,,,,true
33,2,4b5d54,speed,4.12,true,41,4.1000000000000005,true,0.019999999999999574,0.1,0.19999999999999574,true
33,2,4b5d54,heading,275.62,true,27562,275.62,true,0.0,0.01,0.0,true
33,2,4b5d54,vertical_rate,,false,0,,false,,,,true
33,2,4b5d54,callsign,GALA6,true,GALA6,GALA6,true,,exact,,true
34,2,4b5d6e,lat,47.441,true,3202607,47.44101463342062,true,1.4633420619247772e-05,4.2915354470099084e-05,0.34098333335318215,true
34,2,4b5d6e,lon,8.5624,true,2196911,8.562428608519696,true,2.8608519695438872e-05,8.583070894019817e-05,0.3333133332892732,true
34,2,4b5d6e,altitude,,false,0,,false,,,,true
34,2,4b5d6e,speed,2.83,true,28,2.8000000000000003,true,0.029999999999999805,0.1,0.29999999999999805,true
34,2,4b5d6e,heading,154.69,true,15469,154.69,true,0.0,0.01,0.0,true
34,2,4b5d6e,vertical_rate,,false,0,,false,,,,true
34,2,4b5d6e,callsign,VIKTOR31,true,VIKTOR31,VIKTOR31,true,,exact,,true
35,2,4b5c39,lat,47.458,true,3203003,47.45800911379078,true,9.113790781611897e-06,4.2915354470099084e-05,0.2123666667593729,true
35,2,4b5c39,lon,8.5502,true,2196769,8.550240647850188,true,4.064785018798034e-05,8.583070894019817e-05,0.47358166663054585,true
35,2,4b5c39,altitude,,false,0,,false,,,,true
35,2,4b5c39,speed,4.37,true,44,4.4,true,0.03000000000000025,0.1,0.3000000000000025,true
35,2,4b5c39,heading,275.62,true,27562,275.62,true,0.0,0.01,0.0,true
35,2,4b5c39,vertical_rate,,false,0,,false,,,,true
35,2,4b5c39,callsign,GALA21,true,GALA21,GALA21,true,,exact,,true
36,2,4b5c1b,lat,47.4568,true,3202975,47.45680748386562,true,7.483865616109142e-06,4.2915354470099084e-05,0.1743866666957968,true
36,2,4b5c1b,lon,8.5628,true,2196915,8.562771931355456,true,2.8068644542855736e-05,8.583070894019817e-05,0.32702333336675954,true
36,2,4b5c1b,altitude,,false,0,,false,,,,true
36,2,4b5c1b,speed,0.06,true,1,0.1,true,0.04000000000000001,0.1,0.4000000000000001,true
36,2,4b5c1b,heading,208.12,true,20812,208.12,true,0.0,0.01,0.0,true
36,2,4b5c1b,vertical_rate,,false,0,,false,,,,true
36,2,4b5c1b,callsign,URSULA8,true,URSULA8,URSULA8,true,,exact,,true
37,2,440b61,lat,49.4601,true,3249655,49.46009623052984,true,3.769470154679766e-06,4.2915354470099084e-05,0.08783499987879892,true
37,2,440b61,lon,5.0066,true,2155483,5.006633998545169,true,3.399854516938916e-05,8.583070894019817e-05,0.39611166666556796,true
37,2,440b61,altitude,10873.74,true,11874,10874,true,0.2600000000002183,1.0,0.2600000000002183,true
37,2,440b61,speed,232.46,true,2325,232.5,true,0.03999999999999204,0.1,0.3999999999999204,true
37,2,440b61,heading,35.91,true,3591,35.910000000000004,true,7.105427357601002e-15,0.01,7.105427357601002e-13,true
37,2,440b61,vertical_rate,5.53,true,33321,5.529999999999973,true,2.7533531010703882e-14,0.01,2.7533531010703882e-12,true
37,2,440b61,callsign,TAY5DN,true,TAY5DN,TAY5DN,true,,exact,,true
38,2,48ea3a,lat,47.9002,true,3213307,47.900208926250684,true,8.92625068615871e-06,4.2915354470099084e-05,0.20799666684281964,true
38,2,48ea3a,lon,8.0776,true,2191262,8.077570933716487,true,2.906628351340146e-05,8.583070894019817e-05,0.3386466670530841,true
38,2,48ea3a,altitude,10972.8,true,11973,10973,true,0.2000000000007276,1.0,0.2000000000007276,true
38,2,48ea3a,speed,229.54,true,2295,229.5,true,0.03999999999999204,0.1,0.3999999999999204,true
38,2,48ea3a,heading,225.45,true,22545,225.45000000000002,true,2.842170943040401e-14,0.01,2.8421709430404007e-12,true
38,2,48ea3a,vertical_rate,0.0,true,32768,0.0,true,0.0,0.01,0.0,true
38,2,48ea3a,callsign,ENT1511,true,ENT1511,ENT1511,true,,exact,,true
39,2,424cbf,lat,46.8917,true,3189807,46.891698096203356,true,1.90379664388729e-06,4.2915354470099084e-05,0.0443616665269244,true
39,2,424cbf,lon,11.2404,true,2228112,11.240432558162809,true,3.255816280933743e-05,8.583070894019817e-05,0.3793299998491456,true
39,2,424cbf,altitude,9845.04,true,10845,9845,true,0.040000000000873115,1.0,0.040000000000873115,true
